,title,median,mean,my_status
2180,Chain Chronicle: Haecceitas no Hikari,7.0,5.886302111532214,1847
2203,Yoru no Yatterman,7.0,5.871862615587847,1514
2219,Rokka no Yuusha,7.0,6.6735751295336785,15247
2257,Shingeki no Bahamut: Virgin Soul,7.0,6.7236064731569485,3893
2280,Tales of Zestiria the X,7.0,6.671838204737498,7219
2296,Granblue Fantasy The Animation,7.0,5.945046999276935,2766
2298,Kaitou Joker,7.0,5.657894736842105,418
2320,Nanatsu no Taizai: Seisen no Shirushi,7.0,6.2619816240377455,8054
2326,Persona 4 the Golden Animation,7.0,5.855350296270477,2869
2334,Hitsugi no Chaika: Avenging Battle,7.0,6.501788695444789,8386
2340,Kaitou Joker 3rd Season,7.0,5.453488372093023,172
2343,Madan no Ou to Vanadis,7.0,6.3245927248382054,8962
2394,Rolling☆Girls,7.0,5.916247304097771,2782
2397,Mahou Shoujo Lyrical Nanoha ViVid,7.0,5.933113129644922,1211
2432,Eureka Seven AO,7.0,6.1662217908274695,4121
2439,Kaitou Joker 4th Season,7.0,5.568181818181818,132
2455,Saiyuuki Reload Blast,7.0,6.336194563662374,699
2496,Time Travel Shoujo: Mari Waka to 8-nin no Kagakusha-tachi,7.0,5.875806451612903,620
2526,Cardfight!! Vanguard: Asia Circuit-hen,7.0,5.982178217821782,1010
2555,Tales of Zestiria the X 2nd Season,7.0,6.56042257150219,3881
2623,Dog Days&#039;,7.0,6.405338518649461,5657
2634,Berserk 2nd Season,7.0,6.21277145811789,3868
2650,Brave 10,7.0,6.048667439165701,7767
2672,Pokemon Best Wishes! Season 2: Episode N,7.0,5.743452380952381,1680
2694,Dog Days&#039;&#039;,7.0,6.090120160213618,2996
2704,Arata Kangatari,7.0,5.794219962536794,3737
2726,Gatchaman Crowds,7.0,6.579472954230236,7210
2735,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,7.0,6.150409676160749,5126
