,title,median,mean,my_status
2338,Dragon Nest: Throne of Elves,7.0,6.403846153846154,52
2347,Dragon Ball Z Movie 15: Fukkatsu no F,7.0,6.40025716385011,5444
2350,Dragon Nest: Warriors&#039; Dawn,7.0,6.395238095238096,210
2354,Crayon Shin-chan Movie 23: Ora no Hikkoshi Monogatari - Saboten Daisuugeki,7.0,5.936507936507937,63
2359,KanColle Movie,7.0,6.667579908675799,1095
2381,Ghost in the Shell (2015),7.0,6.58705501618123,1545
2384,Digimon Adventure tri. 1: Saikai,7.0,6.50593445527015,5645
2409,Trinity Seven Movie: Eternity Library to Alchemic Girl,7.0,6.2265938069216755,2745
2414,s.CRY.ed Alteration II: Quan,7.0,5.708333333333333,168
2431,Ansatsu Kyoushitsu: 365-nichi no Jikan,7.0,6.3203125,640
2440,Chain Chronicle: Haecceitas no Hikari Part 2,7.0,6.003154574132492,634
2445,Godzilla: Kaijuu Wakusei,7.0,6.007402422611037,1486
2451,Chain Chronicle: Haecceitas no Hikari Part 3,7.0,5.967625899280575,556
2452,Tiger & Bunny Movie 1: The Beginning,7.0,6.3997317236753855,1491
2454,Chain Chronicle: Haecceitas no Hikari Part 1,7.0,5.989316239316239,936
2457,Fairy Tail Movie 1: Houou no Miko,7.0,6.509487558232019,8801
2458,Mardock Scramble: The Third Exhaust,7.0,6.687755102040816,2450
2475,Hunter x Hunter Movie 1: Phantom Rouge,7.0,6.299680624556423,5636
2478,Fuse: Teppou Musume no Torimonochou,7.0,6.693661971830986,1420
2497,Afro Samurai Movie,7.0,6.1743315508021395,1870
2509,Bari Bari Densetsu (1987),7.0,5.933333333333334,75
2523,Hakuouki Movie 1: Kyoto Ranbu,7.0,6.186046511627907,817
2524,Hakuouki Movie 2: Shikon Soukyuu,7.0,6.292358803986711,602
2535,Blood-C: The Last Dark,7.0,6.227931190583974,4418
2537,Naruto: Honoo no Chuunin Shiken! Naruto vs. Konohamaru!!,7.0,5.697703136576933,4049
2539,Tekken: Blood Vengeance,7.0,6.035367275553829,2573
2542,Towa no Quon 2: Konton no Ranbu,7.0,6.541332510795805,3242
2543,Towa no Quon 3: Mugen no Renza,7.0,6.621339616290811,2971
2549,Tennis no Ouji-sama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.0,6.175925925925926,756
2583,Naruto: Shippuuden Movie 5 - Blood Prison,7.0,6.247304802352173,9183
2584,s.CRY.ed Alteration I: Tao,7.0,5.430622009569378,209
2589,Mardock Scramble: The Second Combustion,7.0,6.640240050536955,3166
2590,Overlord Movie 1: Fushisha no Ou,7.0,6.129857819905213,1055
2598,.hack//The Movie: Sekai no Mukou ni,7.0,6.312018489984592,1298
2618,009 Re:Cyborg,7.0,6.032051282051282,936
2681,Captain Herlock,7.0,6.813040791100123,3236
2688,Kuiba: Zhi Shiwanhuoji,7.0,5.978260869565218,46
2698,Precure All Stars Movie New Stage 2: Kokoro no Tomodachi,7.0,6.226114649681529,314
2710,Ginga Kikoutai Majestic Prince Movie: Kakusei no Idenshi,7.0,6.084269662921348,178
2725,Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.0,6.615042058386937,2021
2755,Buki yo Saraba,7.0,6.197472353870458,633
2757,Toriko Movie: Bishokushin no Special Menu,7.0,6.333333333333333,429
2791,Dragon Ball Z Movie 14: Kami to Kami,7.0,6.521235102925243,9230
2801,Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,7.0,6.588709677419355,124
2832,Starship Troopers: Invasion,7.0,6.162689804772234,461
2839,Code Geass: Boukoku no Akito 3 - Kagayaku Mono Ten yori Otsu,7.0,6.4344364269718834,4019
2840,Code Geass: Boukoku no Akito 4 - Nikushimi no Kioku kara,7.0,6.368995633187773,3206
2844,Inazuma Eleven Go vs. Danball Senki W Movie,7.0,5.761904761904762,294
2920,Brave Story,7.0,6.68442118226601,3248
2951,Pokemon Diamond & Pearl: Dialga vs. Palkia vs. Darkrai,7.0,5.7807987711213515,6510
2965,Tennis no Ouji-sama Movie 1: Futari no Samurai - The First Game,7.0,6.1168674698795185,2490
2966,RahXephon: Pluralitas Concentio,7.0,6.116457080371788,1829
2983,Bleach Movie 1: Memories of Nobody,7.0,6.522724416705064,23873
2987,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,7.0,6.304772041866241,5637
3008,Keroro Gunsou Movie 2: Shinkai no Princess de Arimasu!,7.0,6.1063829787234045,423
3050,Vexille: 2077 Nihon Sakoku,7.0,6.306546588153793,2887
3056,Dragon Ball Movie 4: Saikyou e no Michi,7.0,5.573403241182078,4196
3068,Shin Angyo Onshi,7.0,6.186618115612198,2197
3069,Yuu☆Yuu☆Hakusho: Meikai Shitou-hen - Honoo no Kizuna,7.0,6.118960617133577,2463
3071,Yuu☆Yuu☆Hakusho (Movie),7.0,5.751602564102564,2496
3090,Dragon Ball Z Movie 13: Ryuuken Bakuhatsu!! Goku ga Yaraneba Dare ga Yaru,7.0,5.9536175866650565,8279
3094,Dragon Ball Z Movie 12: Fukkatsu no Fusion!! Gokuu to Vegeta,7.0,6.10876327362437,9323
3095,Dragon Ball Z Movie 10: Kiken na Futari! Super Senshi wa Nemurenai,7.0,5.663410398350157,9213
3096,Dragon Ball Z Movie 09: Ginga Girigiri!! Bucchigiri no Sugoi Yatsu,7.0,5.774636223825861,8453
3097,"Dragon Ball Z Movie 08: Moetsukiro!! Nessen, Ressen, Chougekisen",7.0,6.083363702623907,10976
3098,Dragon Ball Z Movie 07: Kyokugen Battle!! Sandai Super Saiyajin,7.0,5.61650922177238,8892
3100,Dragon Ball Z Movie 06: Gekitotsu!! 100-oku Power no Senshi-tachi,7.0,5.573272184300341,9376
